CCN,Facility Name,Address,City,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital_overall_rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,MSPB_Ratio,Total_Performance_Score,Domain_Clinical_Score,Domain_Safety_Score,Domain_Engagement_Score,Domain_Efficiency_Score,HCAHPS_H_CLEAN_HSP_A_P,HCAHPS_H_CLEAN_HSP_SN_P,HCAHPS_H_CLEAN_HSP_U_P,HCAHPS_H_CLEAN_LINEAR_SCORE,HCAHPS_H_CLEAN_STAR_RATING,HCAHPS_H_COMP_1_A_P,HCAHPS_H_COMP_1_LINEAR_SCORE,HCAHPS_H_COMP_1_SN_P,HCAHPS_H_COMP_1_STAR_RATING,HCAHPS_H_COMP_1_U_P,HCAHPS_H_COMP_2_A_P,HCAHPS_H_COMP_2_LINEAR_SCORE,HCAHPS_H_COMP_2_SN_P,HCAHPS_H_COMP_2_STAR_RATING,HCAHPS_H_COMP_2_U_P,HCAHPS_H_COMP_5_A_P,HCAHPS_H_COMP_5_LINEAR_SCORE,HCAHPS_H_COMP_5_SN_P,HCAHPS_H_COMP_5_STAR_RATING,HCAHPS_H_COMP_5_U_P,HCAHPS_H_COMP_6_LINEAR_SCORE,HCAHPS_H_COMP_6_N_P,HCAHPS_H_COMP_6_STAR_RATING,HCAHPS_H_COMP_6_Y_P,HCAHPS_H_DISCH_HELP_N_P,HCAHPS_H_DISCH_HELP_Y_P,HCAHPS_H_DOCTOR_EXPLAIN_A_P,HCAHPS_H_DOCTOR_EXPLAIN_SN_P,HCAHPS_H_DOCTOR_EXPLAIN_U_P,HCAHPS_H_DOCTOR_LISTEN_A_P,HCAHPS_H_DOCTOR_LISTEN_SN_P,HCAHPS_H_DOCTOR_LISTEN_U_P,HCAHPS_H_DOCTOR_RESPECT_A_P,HCAHPS_H_DOCTOR_RESPECT_SN_P,HCAHPS_H_DOCTOR_RESPECT_U_P,HCAHPS_H_HSP_RATING_0_6,HCAHPS_H_HSP_RATING_7_8,HCAHPS_H_HSP_RATING_9_10,HCAHPS_H_HSP_RATING_LINEAR_SCORE,HCAHPS_H_HSP_RATING_STAR_RATING,HCAHPS_H_MED_FOR_A_P,HCAHPS_H_MED_FOR_SN_P,HCAHPS_H_MED_FOR_U_P,HCAHPS_H_NURSE_EXPLAIN_A_P,HCAHPS_H_NURSE_EXPLAIN_SN_P,HCAHPS_H_NURSE_EXPLAIN_U_P,HCAHPS_H_NURSE_LISTEN_A_P,HCAHPS_H_NURSE_LISTEN_SN_P,HCAHPS_H_NURSE_LISTEN_U_P,HCAHPS_H_NURSE_RESPECT_A_P,HCAHPS_H_NURSE_RESPECT_SN_P,HCAHPS_H_NURSE_RESPECT_U_P,HCAHPS_H_QUIET_HSP_A_P,HCAHPS_H_QUIET_HSP_SN_P,HCAHPS_H_QUIET_HSP_U_P,HCAHPS_H_QUIET_LINEAR_SCORE,HCAHPS_H_QUIET_STAR_RATING,HCAHPS_H_RECMND_DN,HCAHPS_H_RECMND_DY,HCAHPS_H_RECMND_LINEAR_SCORE,HCAHPS_H_RECMND_PY,HCAHPS_H_RECMND_STAR_RATING,HCAHPS_H_SIDE_EFFECTS_A_P,HCAHPS_H_SIDE_EFFECTS_SN_P,HCAHPS_H_SIDE_EFFECTS_U_P,HCAHPS_H_STAR_RATING,HCAHPS_H_SYMPTOMS_N_P,HCAHPS_H_SYMPTOMS_Y_P,Readmission_EDAC_30_AMI,Readmission_EDAC_30_HF,Readmission_EDAC_30_PN,Readmission_READM_30_AMI,Readmission_READM_30_CABG,Readmission_READM_30_COPD,Readmission_READM_30_HF,Readmission_READM_30_HIP_KNEE,Readmission_READM_30_PN,Payment_Adjustment_Percent,Cluster_Label
110146,SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,2000 DAN PROCTOR DRIVE,SAINT MARYS,GA,31558,CAMDEN,(912) 576-6401,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,4,,8,3,0,3,0,,8,2,0,2,0,,11,7,1,6,0,,15,15,,10,8,,0.93,37.500000000000,2.500000000000,15.000000000000,12.500000000000,7.500000000000,77,8,15,,,85,,2,,13,77,,8,,15,71,,15,,14,,15,,85,19,81,76,8,16,73,10,17,80,7,13,7,24,69,,,82,7,11,80,4,16,81,1,18,94,1,5,67,8,25,,,6,64,,30,,60,22,18,,11,89,,19.5,-38.4,,,,19.8,,14.7,0.9849,Average Performers
110150,NAVICENT HEALTH BALDWIN,821 NORTH COBB STREET,MILLEDGEVILLE,GA,31061,BALDWIN,(478) 454-3550,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,4,0,4,0,,8,2,0,2,0,,11,6,1,5,0,,15,15,,10,7,,0.86,40.916666666667,4.166666666667,7.500000000000,9.250000000000,20.000000000000,62,16,22,,,73,,9,,18,73,,9,,18,55,,27,,18,,20,,80,17,83,66,11,23,72,10,18,81,7,12,11,28,61,,,69,15,16,68,10,22,69,10,21,83,7,10,57,11,32,,,12,56,,32,,40,39,21,,24,76,,-29.7,11.5,,,17.9,18.4,,15.9,1.2672,High Value
110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,FULTON,(404) 851-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,7,0,7,0,,8,8,1,5,2,,11,10,0,6,4,,15,15,,10,9,,0.93,21.500000000000,2.500000000000,2.500000000000,9.000000000000,7.500000000000,77,6,17,,,76,,5,,19,77,,7,,16,58,,23,,19,,14,,86,16,84,72,8,20,75,7,18,83,4,13,9,18,73,,,73,11,16,71,8,21,73,5,22,83,3,14,60,10,30,,,5,75,,20,,42,35,23,,12,88,47,18.1,23.8,14.2,,19.7,19.3,4.8,17.3,-1.1187,Low Value
110164,"COLISEUM MEDICAL CENTERS, LLC, DBA",350 HOSPITAL DRIVE,MACON,GA,31217,BIBB,(478) 765-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,8,0,8,0,,8,7,1,6,0,,11,8,1,5,2,,15,15,,10,8,,1.01,15.000000000000,7.500000000000,2.500000000000,5.000000000000,0.000000000000,63,14,23,,,74,,5,,21,75,,7,,18,56,,24,,20,,15,,85,14,86,70,8,22,72,8,20,84,4,12,10,26,64,,,70,11,19,69,6,25,68,5,27,83,4,13,60,9,31,,,7,69,,24,,42,37,21,,16,84,-21.7,58.5,23.6,12.6,11,18.3,20.9,,16.4,-1.805,Emerging Performers
110165,SOUTHERN REGIONAL MEDICAL CENTER,"11 UPPER RIVERDALE ROAD, SW",RIVERDALE,GA,30274,CLAYTON,(770) 991-8160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,8,4,0,4,0,,8,5,1,4,0,,11,5,0,3,2,,15,15,,10,8,,1.05,11.500000000000,0.000000000000,10.500000000000,1.000000000000,0.000000000000,55,26,19,,,64,,14,,22,69,,12,,19,53,,28,,19,,23,,77,27,73,65,12,23,65,15,20,77,9,14,20,28,52,,,69,15,16,62,16,22,56,17,27,74,10,16,54,17,29,,,21,48,,31,,37,41,22,,19,81,,48.3,86,,,,20.5,,16.9,-1.9331,High Quality / Higher Cost
110168,ADVENTHEALTH REDMOND,501 REDMOND ROAD NW,ROME,GA,30165,FLOYD,(706) 802-3012,Acute Care Hospitals,Proprietary,No,,4,,8,8,0,8,0,,8,7,1,6,0,,11,9,0,6,3,,15,15,,10,9,,0.97,31.416666666667,10.833333333333,5.833333333333,12.250000000000,2.500000000000,69,12,19,,,81,,4,,15,79,,5,,16,58,,24,,18,,16,,84,16,84,75,6,19,77,6,17,86,3,11,7,17,76,,,75,10,15,75,5,20,79,4,17,89,3,8,63,7,30,,,5,78,,17,,42,38,20,,15,85,1.4,11.8,15.5,14.1,11,17.3,19.5,4.6,17.1,0.3166,Average Performers
110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,AUGUSTA,GA,30909,RICHMOND,(706) 651-6008,Acute Care Hospitals,Proprietary,Yes,Y,3,,8,7,0,7,0,,8,8,3,5,0,,11,8,1,7,0,,15,15,,10,9,,0.97,21.833333333333,3.000000000000,13.333333333333,5.500000000000,0.000000000000,67,11,22,,,75,,7,,18,76,,7,,17,55,,26,,19,,17,,83,19,81,70,8,22,74,7,19,83,5,12,10,20,70,,,70,13,17,70,9,21,73,7,20,81,6,13,54,12,34,,,7,73,,20,,41,38,21,,15,85,-36.1,1.3,7,12.7,,18.6,19.9,5,16,-1.0706,Emerging Performers
110184,WELLSTAR DOUGLAS MEDICAL CENTER,8954 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,DOUGLAS,(770) 949-1500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,6,1,5,0,,8,6,1,4,1,,11,6,1,5,0,,15,15,,10,9,,0.91,31.833333333333,10.000000000000,5.833333333333,6.000000000000,10.000000000000,72,11,17,,,74,,7,,19,79,,4,,17,56,,24,,20,,18,,82,21,79,75,5,20,78,6,16,85,2,13,11,22,67,,,70,13,17,71,8,21,72,7,21,80,4,16,60,14,26,,,7,69,,24,,42,35,23,,16,84,,-15,2.3,13.6,,17.7,19.3,,14.9,0.3737,Average Performers
110190,FLINT RIVER COMMUNITY HOSPITAL,"509 SUMTER STREET, BOX 770",MONTEZUMA,GA,31063,DOOLY,(478) 472-3100,Acute Care Hospitals,Voluntary non-profit - Private,No,,,16,8,,,,,5,8,,,,,5,11,,,,,5,15,,5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
110191,PIEDMONT HENRY HOSPITAL,1133 EAGLE'S LANDING PARKWAY,STOCKBRIDGE,GA,30281,HENRY,(678) 604-1000,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,2,,8,7,0,7,0,,8,8,2,5,1,,11,8,0,7,1,,15,15,,10,9,,0.99,20.166666666667,6.500000000000,9.166666666667,4.500000000000,0.000000000000,64,11,25,,,71,,8,,21,71,,8,,21,54,,28,,18,,21,,79,20,80,67,11,22,68,9,23,78,4,18,14,25,61,,,70,14,16,65,10,25,69,8,23,79,5,16,53,14,33,,,12,57,,31,,37,43,20,,22,78,3.1,-9.5,44.5,13.4,,18.5,19.4,4.1,18.7,-1.3186,Emerging Performers
110192,PIEDMONT EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,SNELLVILLE,GA,30078,GWINNETT,(770) 979-0200,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,7,0,7,0,,8,7,1,6,0,,11,8,0,7,1,,15,15,,10,9,,1.01,17.958333333333,6.875000000000,8.333333333333,2.750000000000,0.000000000000,69,8,23,,,70,,8,,22,73,,8,,19,49,,31,,20,,22,,78,22,78,65,10,25,71,9,20,82,5,13,15,25,60,,,62,15,23,66,10,24,68,9,23,78,4,18,55,14,31,,,11,56,,33,,37,47,16,,21,79,-10.1,5.9,39.5,13.4,,18.2,19.4,5.4,17.5,-1.5806,Emerging Performers
110194,DONALSONVILLE HOSPITAL INC,102 HOSPITAL CIR,DONALSONVILLE,GA,39845,SEMINOLE,(229) 524-5217,Acute Care Hospitals,Voluntary non-profit - Private,No,,,16,8,2,0,2,0,,8,1,0,1,0,,11,3,1,2,0,,15,5,,10,6,,0.82,,,,,,84,7,9,,,85,,6,,9,87,,5,,8,71,,18,,11,,13,,87,,,,,,,,,,,,10,14,76,,,,,,,,,,,,,,,73,6,21,,,8,69,,23,,,,,,,,,,-29.9,,,,,,15.7,,Cost Efficient / Lower Quality
110198,WELLSTAR NORTH FULTON MEDICAL CENTER,3000 HOSPITAL BOULEVARD,ROSWELL,GA,30076,FULTON,(770) 751-2500,Acute Care Hospitals,Proprietary,No,Y,2,,8,7,0,7,0,,8,6,1,3,2,,11,7,1,5,1,,15,15,,10,8,,0.95,14.791666666667,3.125000000000,4.166666666667,2.500000000000,5.000000000000,63,16,21,,,69,,7,,24,73,,7,,20,48,,33,,19,,22,,78,24,76,66,10,24,72,7,21,82,3,15,12,26,62,,,61,20,19,65,10,25,67,8,25,77,4,19,50,15,35,,,10,64,,26,,35,46,19,,20,80,15.5,17.4,-21.7,13.8,,18.6,18.8,,14.3,-1.8123,Emerging Performers
110200,PIEDMONT COLUMBUS REGIONAL NORTHSIDE,100 FRIST COURT,COLUMBUS,GA,31909,MUSCOGEE,(706) 494-2101,Acute Care Hospitals,Proprietary,No,,5,,8,6,0,6,0,,8,6,1,5,0,,11,7,2,5,0,,15,15,,10,7,,1.07,31.500000000000,3.500000000000,15.500000000000,12.500000000000,0.000000000000,73,7,20,,,80,,4,,16,83,,5,,12,60,,23,,17,,16,,84,17,83,78,6,16,82,5,13,88,4,8,6,16,78,,,76,10,14,76,6,18,78,4,18,86,3,11,61,8,31,,,4,79,,17,,44,36,20,,15,85,,-32.8,-15.5,,,17.9,18.7,4.8,16,0.3305,Cost Efficient / Lower Quality
110201,PIEDMONT MACON NORTH HOSPITAL,400 CHARTER BOULEVARD,MACON,GA,31210,BIBB,(478) 757-5990,Acute Care Hospitals,Proprietary,Yes,,4,,8,4,0,4,0,,8,2,0,2,0,,11,5,1,4,0,,15,15,,10,7,,1.00,31.250000000000,6.250000000000,15.000000000000,10.000000000000,0.000000000000,74,7,19,,,77,,6,,17,77,,7,,16,57,,27,,16,,19,,81,22,78,73,8,19,74,8,18,84,6,10,11,19,70,,,71,13,16,74,7,19,74,6,20,82,4,14,62,8,30,,,8,70,,22,,43,41,16,,17,83,,13.4,-18.1,,,,21.1,,15.3,0.284,Average Performers
110209,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,MOULTRIE,GA,31788,COLQUITT,(229) 985-4815,Acute Care Hospitals,Proprietary,No,,,16,8,1,0,1,0,,8,1,0,1,0,,11,1,0,1,0,,15,,5,10,1,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,FAYETTE,(770) 719-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,8,7,1,6,0,,8,8,3,5,0,,11,10,1,8,1,,15,15,,10,9,,0.93,33.250000000000,8.500000000000,11.250000000000,6.000000000000,7.500000000000,58,16,26,,,77,,6,,17,78,,5,,17,56,,24,,20,,20,,80,20,80,71,7,22,77,6,17,85,3,12,9,19,72,,,71,11,18,72,7,21,74,6,20,84,4,12,59,10,31,,,5,73,,22,,41,37,22,,20,80,-14.2,4.5,32.7,13.4,,18.4,20.8,5,16.7,0.5606,Average Performers
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,1266 HIGHWAY 515 SOUTH,JASPER,GA,30143,PICKENS,(706) 692-2441,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,4,,8,5,1,4,0,,8,4,1,3,0,,11,6,1,4,1,,15,15,,10,9,,0.91,38.750000000000,10.000000000000,6.250000000000,10.000000000000,12.500000000000,74,10,16,,,79,,5,,16,77,,7,,16,61,,21,,18,,14,,86,14,86,72,9,19,74,9,17,84,4,12,8,20,72,,,76,11,13,74,7,19,77,5,18,87,4,9,58,11,31,,,7,70,,23,,47,31,22,,14,86,,20,-19.7,,,18.9,20.2,,14.4,1.1016,Average Performers
110226,EMORY HILLANDALE HOSPITAL,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,30058,DE KALB,(404) 501-8040,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,1,,8,4,0,4,0,,8,6,1,5,0,,11,5,0,3,2,,15,15,,10,7,,0.90,33.500000000000,0.000000000000,12.500000000000,8.500000000000,12.500000000000,77,7,16,,,75,,8,,17,78,,8,,14,55,,27,,18,,20,,80,22,78,74,9,17,77,9,14,84,6,10,12,19,69,,,68,13,19,72,10,18,74,7,19,80,6,14,68,7,25,,,10,64,,26,,42,41,17,,18,82,,133,78.4,,,,21.9,,16.3,0.6022,High Quality / Higher Cost
110229,"PIEDMONT NEWNAN HOSPITAL, INC",745 POPLAR ROAD,NEWNAN,GA,30265,COWETA,(770) 400-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,7,0,7,0,,8,7,1,6,0,,11,8,1,7,0,,15,15,,10,9,,0.92,37.250000000000,9.000000000000,12.500000000000,5.750000000000,10.000000000000,61,16,23,,,77,,5,,18,78,,5,,17,56,,22,,22,,18,,82,22,78,72,6,22,77,6,17,84,4,12,8,23,69,,,71,9,20,72,7,21,73,5,22,84,3,13,65,7,28,,,6,70,,24,,40,35,25,,15,85,-26.8,3.1,-0.2,12.9,,18.3,17.8,5.3,15.2,0.9612,Average Performers
110230,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,JOHNS CREEK,GA,30097,GWINNETT,(678) 474-7000,Acute Care Hospitals,Proprietary,Yes,Y,4,,8,7,2,5,0,,8,7,1,6,0,,11,8,2,6,0,,15,15,,10,8,,0.90,29.583333333333,8.000000000000,4.583333333333,4.500000000000,12.500000000000,68,10,22,,,71,,7,,22,77,,6,,17,52,,27,,21,,19,,81,18,82,72,8,20,76,6,18,84,4,12,10,20,70,,,68,14,18,67,9,24,67,7,26,80,5,15,60,11,29,,,6,72,,22,,36,40,24,,19,81,-29.9,11.8,-15.7,12.9,,19,18.9,4.7,15.8,0.0171,Average Performers
110233,"SOUTHEASTERN REGIONAL MEDICAL CENTER, INC",600 CELEBRATE LIFE PARKWAY NORTH,NEWNAN,GA,30265,COWETA,(404) 844-8334,Acute Care Hospitals,Proprietary,No,,5,,8,1,0,1,0,,8,4,0,4,0,,11,5,1,4,0,,15,15,,10,5,,1.08,47.111111111111,,14.444444444444,32.666666666667,0.000000000000,87,4,9,,,87,,1,,12,87,,2,,11,74,,11,,15,,7,,93,8,92,84,3,13,86,2,12,92,2,6,2,8,90,,,85,5,10,85,2,13,84,1,15,92,1,7,78,2,20,,,1,95,,4,,63,16,21,,7,93,,,,,,,,,,1.6295,High Value
110234,SGMC BERRIEN CAMPUS,1221 E MCPHERSON AVENUE,NASHVILLE,GA,31639,BERRIEN,(229) 543-7100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,8,,,,,5,8,,,,,5,11,,,,,5,15,,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
110236,CHI MEMORIAL HOSPITAL- GEORGIA,4710 BATTLEFIELD PARKWAY,RINGGOLD,GA,30736,CATOOSA,(770) 874-5400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,8,3,0,3,0,,8,,,,,5,11,4,0,3,1,,15,,5,10,7,,1.08,,,,,,84,2,14,,,88,,5,,7,85,,5,,10,62,,20,,18,,10,,90,16,84,80,6,14,86,5,9,89,5,6,11,10,79,,,78,9,13,81,7,12,90,6,4,93,2,5,77,4,19,,,5,76,,19,,47,32,21,,4,96,,44.1,-21,,,,19.5,,15.9,,Average Performers
110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,227 MOUNTAIN DRIVE,DAHLONEGA,GA,30533,LUMPKIN,(770) 219-7146,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,5,,8,4,0,4,0,,8,1,0,1,0,,11,4,0,4,0,,15,15,,10,6,,0.83,69.111111111111,7.777777777778,,28.000000000000,33.333333333333,69,7,24,,,83,,4,,13,84,,4,,12,67,,16,,17,,12,,88,13,87,79,3,18,82,5,13,91,5,4,5,11,84,,,81,5,14,82,5,13,82,4,14,84,3,13,70,8,22,,,3,86,,11,,53,27,20,,11,89,,28.2,-18.9,,,18,19.7,,15.7,1.982,High Value
110252,NORTHSIDE HOSPITAL DULUTH,3620 HOWELL FERRY ROAD,DULUTH,GA,30096,GWINNETT,(678) 312-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,8,5,0,5,0,,8,5,1,4,0,,11,6,0,5,1,,15,15,,10,8,,0.96,29.333333333333,5.833333333333,11.000000000000,7.500000000000,5.000000000000,83,3,14,,,72,,7,,21,77,,6,,17,54,,25,,21,,16,,84,19,81,71,9,20,75,6,19,84,4,12,10,20,70,,,69,11,20,68,9,23,69,7,24,80,5,15,60,9,31,,,8,71,,21,,38,39,23,,13,87,,-2.7,25.6,,,19.9,19.3,,16.1,-0.0139,Average Performers
110253,SOUTH GEORGIA SPECIALTY HOSPITAL,2000 PALMYRA RD 3RD FLOOR,ALBANY,GA,31701,DOUGHERTY,(706) 392-5556,Acute Care Hospitals,Proprietary,No,,,19,,,,,,19,,,,,,19,,,,,,19,,,19,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
110256,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,HAWKINSVILLE,GA,31036,PULASKI,(478) 783-0200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,5,,,,,,5,,,,,,5,,,,,,5,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,3,,8,5,3,2,0,,8,4,0,4,0,,11,6,1,4,1,,15,10,,10,5,,,,,,,,65,13,22,,,73,,9,,18,82,,5,,13,61,,24,,15,,18,,82,18,82,77,5,18,79,5,16,86,4,10,13,22,65,,,74,13,13,72,9,19,73,8,19,82,6,12,56,13,31,,,9,57,,34,,50,31,19,,15,85,46.5,-10.6,4.6,14.6,,20,18.6,3.8,16.5,,Average Performers
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,4,,8,5,2,3,0,,8,4,0,4,0,,11,6,0,6,0,,15,10,,10,4,,,,,,,,71,11,18,,,83,,7,,10,86,,6,,8,71,,16,,13,,15,,85,13,87,82,6,12,86,6,8,91,3,6,9,17,74,,,80,9,11,82,6,12,82,7,11,86,5,9,66,8,26,,,5,72,,23,,62,23,15,,18,82,14.1,-8.4,11.5,13.6,,19.2,20.1,6.2,16.5,,Average Performers
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,(478) 277-2701,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,,16,8,3,0,3,0,,8,,,,,5,11,4,2,2,0,,15,,5,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.5,-45.4,,,17.4,18.2,,15.6,,Cost Efficient / Lower Quality
11032F,Martin ACH (FT Benning),6600 Van Aalst Blvd,Fort Benning,GA,31905,CHATTAHOOCHEE,(762) 408-2604,Acute Care - Department of Defense,Department of Defense,Yes,,,22,,,,,,22,,,,,,22,,,,,,22,,,22,,,22,,,,,,,86,3,11,,,86,,3,,11,85,,4,,11,74,,11,,15,,8,,92,13,87,80,5,15,82,5,13,88,3,9,3,16,81,,,81,6,13,81,5,14,81,3,16,89,2,9,87,2,11,,,2,82,,16,,61,19,20,,8,92,,,,,,,,,,,Average Performers
11033F,Dwight Eisenhower AMC (FT Gordon),300 East Hospital Rd,Fort Gordon,GA,30905,RICHMOND,(706) 787-5811,Acute Care - Department of Defense,Department of Defense,Yes,,,22,,,,,,22,,,,,,22,,,,,,22,,,22,,,22,,,,,,,78,7,15,,,86,,1,,13,87,,2,,11,74,,9,,17,,10,,90,14,86,81,3,16,84,4,12,89,2,9,1,17,82,,,82,6,12,80,3,17,83,3,14,88,1,11,67,7,26,,,1,81,,18,,62,16,22,,7,93,,,,,,,,,,,Average Performers
11035F,Winn ACH (FT Stewart),1061 Harmon Ave,Fort Stewart,GA,31314,LIBERTY,(912) 435-6633,Acute Care - Department of Defense,Department of Defense,Yes,,,22,,,,,,22,,,,,,22,,,,,,22,,,22,,,22,,,,,,,82,6,12,,,83,,4,,13,81,,4,,15,62,,19,,19,,8,,92,10,90,78,4,18,81,5,14,85,2,13,9,19,72,,,72,10,18,79,6,15,79,5,16,87,3,10,71,4,25,,,6,71,,23,,46,31,23,,10,90,,,,,,,,,,,Average Performers
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Rural Emergency Hospital,Government - Hospital District or Authority,Yes,,,19,,,,,,19,,,,,,19,,,,,,19,,,19,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
111302,BLECKLEY MEMORIAL HOSPITAL,145 PEACOCK STREET,COCHRAN,GA,31014,BLECKLEY,(478) 934-6211,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,8,,,,,5,8,1,1,0,0,,11,1,0,1,0,,15,,5,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
111303,JASPER MEMORIAL HOSPITAL,898 COLLEGE STREET,MONTICELLO,GA,31064,JASPER,(706) 468-6411,Critical Access Hospitals,Government - Local,Yes,,,16,8,,,,,5,8,,,,,5,11,,,,,5,15,,5,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
111304,MORGAN MEDICAL CENTER,1740 LIONS CLUB ROAD,MADISON,GA,30650,MORGAN,(706) 342-1667,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,8,1,0,1,0,,8,1,0,1,0,,11,2,0,2,0,,15,,5,10,6,,,,,,,,78,3,19,,,83,,3,,14,90,,0,,10,64,,16,,20,,15,,85,22,78,88,1,11,90,0,10,92,0,8,6,14,80,,,77,3,20,77,4,19,81,3,16,89,3,8,76,4,20,,,2,85,,13,,51,30,19,,7,93,,,,,,,,,,,Average Performers
111305,MILLER COUNTY HOSPITAL,209 N CUTHBERT STREET,COLQUITT,GA,39837,MILLER,(229) 758-4231,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,8,1,0,1,0,,8,1,0,1,0,,11,1,0,1,0,,15,,5,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
